id,cut,color,clarity,x,y,z,price
243,Ideal,H,VS2,7.33,7.29,4.55,9.354
244,Very Good,G,SI1,8.08,8.11,4.96,9.812
245,Ideal,I,SI1,6.44,6.46,4.0,8.463
246,Very Good,G,SI1,6.49,6.55,4.03,8.531
247,Ideal,F,VVS1,4.59,4.61,2.83,6.836
248,Ideal,G,VS1,4.84,4.86,3.0,6.849
249,Ideal,G,VVS2,4.31,4.33,2.67,6.745
250,Good,J,SI1,5.15,5.18,3.08,6.866
251,Premium,G,SI2,7.51,7.43,4.61,9.089
252,Very Good,E,VS1,5.67,5.69,3.53,8.009
253,Ideal,H,SI2,6.94,6.88,4.25,8.497
254,Ideal,H,SI2,4.68,4.7,2.87,6.234
255,Premium,F,SI2,6.27,6.23,3.89,8.35
256,Ideal,F,VS2,4.55,4.6,2.81,6.56
257,Very Good,H,SI1,4.37,4.32,2.55,6.223
258,Ideal,F,VS2,4.75,4.79,2.95,6.76
259,Ideal,G,VVS1,4.34,4.37,2.7,6.671
260,Premium,F,IF,4.47,4.44,2.62,6.985
261,Premium,H,VS2,4.62,4.58,2.8,6.592
262,Good,H,VS1,7.34,7.4,4.65,9.284
263,Premium,E,SI2,4.73,4.77,2.95,6.526
264,Ideal,G,SI2,8.16,8.19,4.98,9.776
265,Very Good,H,VS1,5.54,5.58,3.42,7.59
266,Fair,I,SI2,6.19,6.24,4.07,8.243
267,Ideal,H,VVS1,5.17,5.22,3.18,7.501
268,Good,G,VVS2,6.32,6.37,3.96,8.9
269,Premium,H,SI1,7.58,7.51,4.6,9.086
270,Ideal,G,VVS2,5.41,5.46,3.37,7.761
271,Ideal,E,VS1,4.09,4.13,2.54,6.114
272,Ideal,I,VS1,4.83,4.85,3.0,6.65
273,Very Good,J,SI1,5.94,5.98,3.67,7.707
274,Fair,J,VS1,7.76,7.92,5.22,9.575
275,Very Good,J,SI2,7.79,7.83,4.76,9.111
276,Good,F,SI1,7.71,7.79,4.47,9.297
277,Ideal,J,SI2,7.02,6.98,4.21,8.473
278,Ideal,G,SI2,5.38,5.42,3.32,7.151
279,Ideal,G,SI1,5.81,5.83,3.57,8.049
280,Ideal,H,VS2,4.59,4.63,2.83,6.375
281,Very Good,F,VS2,4.29,4.33,2.71,6.405
282,Very Good,E,SI1,5.65,5.69,3.58,7.828
283,Premium,G,VS2,7.07,7.04,4.28,9.137
284,Premium,E,SI2,6.4,6.43,3.95,8.448
285,Ideal,G,VS2,4.76,4.71,2.97,6.967
286,Very Good,D,SI1,6.12,6.18,3.86,8.404
287,Ideal,G,VVS1,4.41,4.43,2.69,6.649
288,Premium,F,SI2,4.7,4.6,2.8,6.436
289,Ideal,J,SI1,8.05,7.99,5.0,9.442
290,Premium,D,VS2,5.74,5.69,3.5,7.946
291,Fair,H,SI1,7.24,7.19,4.66,8.914
292,Premium,F,SI2,8.54,8.46,5.03,9.514
293,Very Good,F,SI1,4.97,5.01,3.05,6.929
294,Fair,E,SI1,6.27,6.06,4.09,8.328
295,Premium,I,SI2,8.42,8.35,5.19,9.316
296,Ideal,J,SI1,5.24,5.3,3.21,7.003
297,Ideal,G,VVS2,4.65,4.67,2.9,6.834
298,Good,G,VS2,7.18,7.27,4.64,9.362
299,Ideal,I,VS1,6.95,6.89,4.19,8.747
300,Good,E,VVS1,6.27,6.24,4.0,9.031
301,Premium,E,SI1,4.47,4.43,2.69,6.611
302,Premium,G,SI1,7.15,7.24,4.41,8.968
303,Very Good,H,SI2,7.28,7.24,4.5,8.894
304,Ideal,G,VS1,5.21,5.23,3.21,7.491
305,Premium,E,SI1,4.32,4.29,2.68,6.515
306,Premium,I,VVS2,4.3,4.36,2.64,6.265
308,Ideal,E,VS2,5.45,5.44,3.33,7.691
309,Premium,H,SI2,5.14,5.05,3.11,6.865
310,Ideal,G,VS1,5.42,5.44,3.37,7.681
311,Ideal,J,VVS1,4.93,4.89,3.07,6.926
312,Good,H,SI1,7.99,8.05,4.99,9.725
313,Ideal,I,SI1,6.57,6.59,4.05,8.657
314,Very Good,H,SI2,6.39,6.32,4.03,8.186
315,Ideal,G,SI2,4.82,4.79,2.93,6.729
316,Premium,E,VS1,4.94,4.9,2.99,7.156
317,Ideal,I,VVS1,4.77,4.8,2.99,6.784
318,Ideal,I,SI1,6.27,6.25,3.87,8.109
319,Good,E,VS2,6.34,6.31,4.04,8.849
320,Very Good,D,VVS2,3.95,4.0,2.4,6.273
321,Ideal,F,VS2,5.25,5.2,3.28,7.391
322,Very Good,E,VVS2,5.36,5.38,3.24,7.783
323,Ideal,E,VVS1,4.72,4.67,2.93,7.242
324,Very Good,H,SI2,5.84,5.88,3.7,7.761
325,Very Good,F,SI2,6.13,6.17,3.85,8.122
326,Very Good,D,VS2,5.13,5.08,3.24,7.511
327,Good,F,VVS2,5.6,5.66,3.55,7.909
328,Good,H,VS1,6.1,6.13,3.88,8.368
329,Good,H,SI1,6.07,6.11,3.78,8.145
330,Good,H,SI1,7.25,7.32,4.53,9.089
331,Good,F,SI1,6.31,6.27,4.0,8.505
332,Ideal,G,VS2,6.57,6.63,4.08,8.844
333,Good,F,SI1,7.57,7.62,4.8,9.51
334,Ideal,F,SI2,4.73,4.7,2.86,6.718
335,Good,F,VS2,6.09,6.13,3.9,8.368
336,Very Good,H,VS2,4.62,4.66,2.83,6.368
337,Ideal,F,SI2,6.2,6.22,3.85,8.443
338,Premium,G,SI1,4.61,4.54,2.84,6.562
339,Premium,F,SI2,6.29,6.27,3.84,8.148
340,Ideal,E,VS2,5.15,5.21,3.13,7.545
341,Ideal,G,VVS2,7.35,7.29,4.56,9.599
342,Ideal,H,VS2,4.41,4.45,2.71,6.26
343,Very Good,I,VS2,5.02,5.06,3.19,7.039
344,Ideal,G,VS2,4.77,4.74,2.98,6.967
345,Very Good,E,SI2,6.08,6.11,3.91,8.146
346,Ideal,I,SI2,8.12,8.08,5.03,9.421
347,Ideal,H,VVS1,4.38,4.37,2.71,6.842
348,Good,G,VS2,7.94,7.88,5.07,9.792
349,Premium,D,SI1,6.17,6.12,3.86,8.349
350,Premium,F,VVS1,5.92,5.88,3.43,8.116
351,Ideal,F,SI1,7.38,7.31,4.59,9.352
352,Premium,H,SI1,6.87,6.84,4.17,8.648
353,Fair,F,SI1,5.85,5.7,3.18,7.403
354,Very Good,I,SI1,6.73,6.78,4.25,8.559
355,Ideal,E,SI1,5.7,5.72,3.52,8.111
356,Very Good,G,VVS1,4.65,4.69,2.93,6.75
357,Ideal,H,IF,4.42,4.44,2.74,6.766
358,Ideal,E,VVS2,5.19,5.23,3.24,7.729
359,Premium,E,VS2,4.48,4.51,2.74,6.613
360,Premium,F,VVS2,6.56,6.44,3.96,9.08
361,Fair,F,I1,4.92,4.87,3.28,6.441
362,Ideal,G,VVS2,5.36,5.37,3.24,7.575
363,Ideal,G,IF,4.3,4.33,2.69,6.76
364,Ideal,G,VVS1,4.38,4.34,2.67,6.953
365,Good,E,VS2,5.8,5.84,3.69,8.099
366,Good,F,SI1,5.16,5.21,3.33,7.244
367,Good,D,VS2,5.99,6.01,3.95,8.451
368,Premium,I,VS1,4.43,4.38,2.59,6.41
369,Premium,J,SI1,6.91,6.88,4.26,8.533
370,Ideal,F,VS2,5.93,5.98,3.7,8.305
371,Premium,E,SI1,5.76,5.7,3.59,7.902
372,Very Good,H,VVS2,4.12,4.16,2.59,6.223
373,Very Good,D,SI1,5.09,5.12,3.16,7.27
374,Very Good,G,SI2,6.33,6.23,3.96,8.22
375,Fair,I,VVS2,5.91,5.83,3.93,8.031
376,Ideal,H,VS1,5.14,5.2,3.21,7.377
377,Very Good,E,VS2,5.9,5.96,3.58,8.247
378,Very Good,E,SI2,5.74,5.69,3.54,7.773
379,Very Good,D,SI1,4.73,4.69,2.97,6.829
380,Ideal,I,VVS2,7.39,7.42,4.6,9.257
381,Very Good,F,VVS1,4.22,4.25,2.64,6.498
382,Very Good,D,VS1,6.13,6.18,3.88,8.658
383,Ideal,F,VS1,6.67,6.62,3.92,8.956
384,Very Good,D,SI1,6.64,6.68,4.01,8.7
385,Very Good,E,VVS1,4.3,4.33,2.57,6.465
386,Ideal,G,VS2,5.32,5.38,3.35,7.417
387,Ideal,D,SI2,6.1,6.15,3.84,8.292
388,Very Good,H,VVS1,4.92,4.95,2.97,7.107
389,Very Good,H,SI1,8.03,7.96,5.06,9.785
390,Premium,H,SI1,6.38,6.34,4.0,8.078
391,Ideal,G,VS1,7.12,7.07,4.4,9.263
392,Ideal,D,SI1,4.39,4.35,2.71,6.528
393,Ideal,E,VVS2,4.78,4.75,2.97,7.125
394,Premium,I,VS1,7.3,7.28,4.59,9.16
395,Premium,I,VS1,4.32,4.27,2.65,6.41
396,Good,J,VS1,4.61,4.64,2.93,6.447
397,Fair,G,VS1,6.36,6.33,4.12,8.636
398,Premium,J,SI1,8.7,8.65,5.2,9.596
399,Ideal,D,VS2,4.51,4.55,2.76,6.72
400,Premium,I,SI2,7.0,6.91,4.18,8.547
401,Premium,D,VS2,4.76,4.73,2.93,6.957
402,Good,I,VVS2,5.68,5.63,3.6,7.733
403,Premium,E,VVS1,5.73,5.62,3.56,8.237
404,Ideal,F,VVS2,6.69,6.66,4.1,9.173
405,Ideal,J,VS1,7.85,7.79,4.78,9.323
406,Premium,E,VS2,5.86,5.76,3.6,7.956
407,Ideal,F,SI2,5.76,5.78,3.54,7.834
408,Ideal,E,VS2,4.75,4.77,2.91,6.816
409,Very Good,H,SI1,4.77,4.83,2.88,6.526
410,Premium,F,VVS1,4.8,4.76,2.83,7.136
411,Good,I,VS1,6.92,6.96,4.42,8.848
412,Ideal,G,VVS1,4.75,4.77,2.94,6.965
413,Very Good,I,VVS1,5.65,5.67,3.56,7.829
414,Ideal,G,IF,4.66,4.7,2.83,6.831
415,Premium,F,SI1,5.37,5.33,3.33,7.661
416,Premium,F,SI1,5.26,5.2,3.26,7.434
417,Very Good,G,VS2,5.69,5.66,3.58,7.742
418,Very Good,H,SI1,6.3,6.41,3.76,8.294
419,Good,F,VVS2,4.29,4.33,2.74,6.492
420,Very Good,G,VVS1,4.39,4.44,2.71,6.766
421,Ideal,I,SI1,4.45,4.49,2.79,6.129
422,Ideal,G,VVS2,6.76,6.7,4.07,9.129
423,Very Good,G,SI1,5.06,5.1,3.05,7.088
424,Premium,G,VS2,4.38,4.4,2.63,6.299
425,Very Good,D,VS1,4.1,4.16,2.61,6.153
426,Premium,I,SI1,4.38,4.35,2.72,6.286
427,Good,F,VS2,4.94,5.0,3.12,7.277
428,Premium,G,SI2,7.09,7.05,4.18,8.683
429,Good,H,VS2,7.12,7.04,4.52,9.133
430,Ideal,F,VS1,5.36,5.39,3.29,7.59
431,Premium,D,SI1,5.19,5.23,3.2,7.356
432,Very Good,I,SI2,5.67,5.72,3.61,7.553
433,Ideal,J,VS2,4.36,4.38,2.72,5.974
434,Very Good,H,VS2,4.22,4.28,2.66,6.159
435,Ideal,G,VS1,7.03,7.13,4.38,9.22
436,Ideal,H,SI1,5.28,5.1,3.25,6.982
437,Premium,G,SI1,4.54,4.5,2.7,6.477
438,Very Good,E,SI1,6.45,6.49,3.89,8.677
439,Ideal,E,SI2,5.23,5.26,3.19,7.114
440,Ideal,H,VS2,5.17,5.19,3.14,7.277
441,Premium,D,VS2,7.19,7.21,4.51,9.538
442,Premium,F,I1,5.18,5.11,3.24,6.768
443,Very Good,I,SI1,4.27,4.3,2.68,5.945
444,Good,H,VS2,4.72,4.64,3.0,6.592
445,Good,D,VS2,5.78,5.87,3.38,7.919
446,Premium,F,SI2,6.39,6.36,3.79,8.194
447,Ideal,J,SI1,5.12,5.16,3.2,7.241
448,Good,F,SI1,6.15,6.12,3.9,8.458
449,Fair,G,I1,6.2,6.14,4.01,7.782
450,Ideal,J,VS2,6.64,6.61,4.11,8.38
451,Very Good,D,VS2,5.19,5.24,3.08,7.44
452,Premium,D,VS2,4.55,4.58,2.82,6.748
453,Premium,D,SI2,5.32,5.37,3.23,7.236
454,Premium,D,VS2,4.93,4.89,2.93,6.87
455,Ideal,J,SI1,4.72,4.77,2.93,6.417
456,Good,J,SI1,6.91,6.84,4.4,8.564
457,Very Good,D,VS1,4.76,4.8,2.95,6.926
458,Good,I,SI1,4.39,4.42,2.8,6.098
459,Ideal,G,VS2,5.7,5.73,3.52,8.146
460,Premium,F,VS2,4.29,4.31,2.65,6.405
461,Premium,D,VS2,4.28,4.26,2.68,6.815
462,Ideal,I,VS2,7.72,7.79,4.73,9.508
463,Ideal,G,VS1,4.22,4.25,2.63,6.194
464,Premium,G,SI1,6.44,6.48,3.94,8.441
465,Ideal,E,SI1,6.25,6.29,3.89,8.338
466,Very Good,F,VS2,5.02,5.1,3.19,7.148
467,Ideal,J,SI2,6.8,6.85,4.21,8.414
468,Ideal,G,IF,4.0,4.03,2.46,6.326
469,Premium,E,SI2,5.88,5.82,3.62,7.948
470,Ideal,D,SI2,6.64,6.62,4.09,8.596
471,Ideal,H,SI1,4.67,4.71,2.8,6.279
472,Ideal,G,SI1,5.66,5.69,3.54,7.815
473,Ideal,G,VS1,7.37,7.34,4.53,9.594
474,Ideal,G,VVS2,5.12,5.15,3.22,7.553
475,Ideal,G,VVS2,4.85,4.9,2.97,6.962
476,Ideal,E,VVS2,4.34,4.36,2.65,6.73
477,Good,F,VS2,6.11,6.06,3.87,8.351
478,Fair,H,VS2,8.2,8.11,4.93,9.782
479,Premium,G,VS2,4.51,4.49,2.67,6.611
480,Good,F,VVS2,4.82,4.87,2.87,7.048
481,Ideal,E,VS2,5.04,5.08,3.15,7.352
482,Ideal,G,VS1,5.7,5.73,3.51,8.018
483,Premium,F,VS1,7.27,7.3,4.53,9.662
484,Ideal,I,VVS2,4.18,4.2,2.56,6.375
485,Ideal,H,VVS2,4.29,4.32,2.7,6.38
486,Premium,D,VS2,4.63,4.68,2.75,6.748
487,Very Good,E,SI1,5.85,5.78,3.49,8.046
